paper_id,paper_title,abstract,type,pubmed_id
1,"Development of 3D Serious Game: Colorful Classroom to Effectively Teach Children Colors Letters and Numbers","The application of serious games (SGs) has shown significant improvements in the education of both children without disorders and children with disorders such as autism. The major advantage of SGs over the traditional teaching approach is the possibility to boost motivation and engagement of children during the learning process. Currently, formal educational systems of many developed countries integrate SGs into primary and secondary schools. This re-search focuses on developing a 3D game called Colorful Classroom to enable children learn letters of the English alphabet, colors and numbers. The entire concept of the game is established using the Unity Engine, and all 3D models, including classroom and other objects, are modelled from scratch in Maya Autodesk. Evaluation of the game was conducted on two testing samples com-posed of typically developing, mentally delayed and autistic children. The findings show progressive learning of both tested groups and positive feed-back from teachers regarding the game design and logic. Finally, the game described in this research paper could be enhanced by designing more classes in different lessons.",NULL,NULL
2,"Allegation and World-Building in Video Games","This chapter introduces the notion of allegation, as it has been discussed by Polish literary scholars following Giselle Mathieu-Castellanis (Littrature 55:2436, 1984) suggestions, into game analysis. Allegation ( allgation ) can be explained as the intertextual allusion that serves the persuasive function of establishing authority of the text that utilises it. The case studies analysed here are Child of Light (Ubisoft Montreal, Child of Light. PC Game. Steam, 2014) and My Memory of Us (Juggler Games, My Memory of Us. PC Game. Steam. https://store.steampowered.com/app/651500/My_Memory_of_Us/ , 2018). These games share a number of characteristics, which makes it possible to compare and contrast the strategies they use, specifically with respect to the function of allegation as a storyworld-building strategy. Allegation is a relatively unknown term, the reason being most probably that it has not been discussed extensively in the English-speaking academic discourse yet. However, given its medium-neutral character, it might be assumed that while Polish scholars such as Micha Gowiski, Stanisaw Balbus, Henryk Markiewicz, Agnieszka Fuliska, Katarzyna Szalewska, Agata Buda or Pawe Jarnicki have developed the concept for the sake of literary analysis, allegation is also applicable to game studies. Therefore, the aim of this chapter is to change the present situation and introduce the findings of the above mentioned scholars to a broader audience, at the same time suggesting a valuable conceptual tool for formal analysis of video games. The author follows Gowiskis (Pamitnik Literacki 77(4):75100, 1986) decision to translate Castellanis (Littrature 55:2436, 1984) allgation as alegacja and suggests that this term be called allegation , as it has already been by Buda (J. Lang. Cult. Edu. 3(1):25462, 2015). This text develops the authors ideas presented at two conferences (Mochocka, Dialogue or Monologue? Intertextuality as Allegation in Child of Light and My Memory of Us, 2019a; Childrens games and play in My Memory of Us, 2019b), and includes expanded versions of the conference abstracts. Section 1 presents the concept of allegation. Section 2 outlines the major narrative themes in the two games. Section 3 analyses examples of monologic and dialogic allegations in Child of Light and My Memory of Us in the context of the aforementioned themes. The author decided to rely on content analysis, close reading (Fernandez-Vara, Introduction to Game Analysis. Routledge, New York and London, 2014) the relevant components of the games in the process of playing them, with Bogosts (Unit Operations An Approach to Videogame Criticism. The MIT Press, Cambridge, Massachusetts and London, England, 2006) unit operations approach in mind. The author tried to select and focus on intertextual allusions that could be understood as allegations present in the game, whether they were to be found in the semiotic substance or the mechanics of the games. The data was collected during repeated game sessions and note taking (approximately 40hours in the case of Child of Light , and 16hours in the case of My Memory of Us ). To secure efficient exploration (Lankoski and Bjrk, Formal analysis of gameplay. In: Lankoski P, Bjrk S (eds.), Game Research Methods. An Overview. ETC Press, Halifax, pp. 2335, 2015), the author used hacks recommended in a selection of sources. Sources such as interviews with the designer team, reviews, and marketing information were used as paratextual materials.",NULL,NULL
3,"Character Design: The Case of Characters in a Hybrid Serious Game Called FlavourGame","FlavourGame is a hybrid board game, from the serious games category, which aims to promote among children, discussion and awareness for taking correct choices in their nutrition. As part of this project, the design of the characters that make up the games narrative is being developed. This process, which is still undergoing, so far involved, in a first stage, a small literature review on the process of Character Design, in order to identify the existence of some kind of transversal methodology to follow. In a second stage, the main psychological and emotional characteristics of the characters were determined, so that, in a third stage, the visual design of these characters was studied. Finally, and in a fourth stage, different components of the Design of the characters were evaluated with three samples of the target audience. Thus, this article presents the theoretical framework connected to character design, describes the so far undergone creative and design process of FlavourGame s characters and presents three small stages of the characters design assessment with children between the ages of 10 to 12. Throughout the article, we also identify and describe the iterations and changes that were made to the character design according to both the opinions expressed by the children regarding their preferences and the collaboration of a graphic designer in the character design process.",NULL,NULL
4,"ARcode: Programming for Youngsters Through AR","Since coding literacy has become a necessity, acquiring the fundamentals of programming at an early stage can bring countless constructive consequences to many aspects of the youngsters lives. Educational serious games have recently attracted attention, especially with the post-pandemic surge in homeschooling and distance learning. The majority of the existing serious games are either using the traditional two-dimensional (2D) or three-dimensional (3D) environments. One of the most emerging technologies over the recent years is Augmented Reality (AR). This study describes the findings of a comparative experimental research that questions the impact of the medium of a serious game on the learning process of Computer Science (CS) core concepts for youngsters. The objective of the experiment is the design, implementation and evaluation of an AR serious game that would assist youngsters in learning the basic programming concepts. This game was developed in order to examine the effectiveness of an engaging AR serious game on the learning process for youngsters compared to another implemented 2D version of the same game, in the context of teaching CS.",NULL,NULL
5,"Gamification for Visualization Applications in the Construction Industry","With the advancement of computer and information technologies in recent years, visualization applications such as virtual reality (VR), augmented reality (AR), and mixed reality (MR) have been applied widely across the architecture, engineering, construction, and operation (AECO) industry. Game features and mechanisms have been integrated with these visualization applications, expanding their impact. The core structure of these gamified applications echoes the essence of serious games (SGs). SGs have been identified as video games with serious purposes rather than pure entertainment, such as education, training, and analysis. With SGs principles, various impacts are expected as an outcome of humancomputer interaction. In the context of the AECO sector, SGs have been applied to construction health and safety education, professional skill training, evacuation training, behavioural analysis, emergency studies, and decision-making processes. This chapter introduces SGs and their theoretical backgrounds, outlines the development principles of SGs tailored to AECO practitioners, discusses the state-of-the-art applications and impacts on the AECO industry, and draws future expectations and potential implications concerning gamification for visualization applications in the Industry 4.0 era.",NULL,NULL
6,"GiroJampa: A Serious Game Prototype for Wheelchairs Rehabilitation","Spinal cord injury is an impairment in the spinal canal, that leads to sensorimotor deficiency, causing dependency by motor impairment, affecting not only the physical aspect, but also the psychoemotional. Serious games are games whose purpose lies beyond entertainment, and they can be applied in a multitude of activities within the health field, including rehabilitation. This works goal is show the results from the development of a serious game prototype. The game was designed to aid in both the motor rehabilitation and the psychoemotional aspects of patients with thoracolumbosacral spinal cord injury, wheelchair users, through a decision-making model that balance difficulty from user performance. The development process was structured in three stages: the first was the elaboration of project step diagram; the second consisted of the games design; and the third consisted of defining the prototype tests. The prototype contains the basic elements of a game, with definition of the scenario and aesthetics, technology, narrative, and definition of the decision-making model, in addition to having a multidisciplinary team to define the priority points for approaching the game, attending to the target audience needs.",NULL,NULL
7,"HiZeca: A Serious Game for Emotions Recognition","To comprehend human behavior can be a very difficult task for children with Autism Spectrum Disorder (ASD). These children have difficulties in social interaction, and they manifest repetitive patterns. Furthermore, they present deficits in imitation which can be directly linked to impairments in social interaction skills. Taking this into account, this paper presents the serious game HiZeca, in which a virtual agent (ZECA Avatar) is able to interact with a child, in order to promote social interaction and training certain facial movements that will be validated, and that will facilitate imitation and recognition of emotions (content, sad, surprised, among others). In order to validate the system, tests were conducted with typically developing children and children with ASD. The results show that, in general, the game was accepted with a positive feedback from the children.",NULL,NULL
8,"ZeusAR: a process and an architecture to automate the development of augmented reality serious games","A software development process comprises all the steps necessary to produce a software product. This research proposes a new process for developing augmented reality serious games (ARSGs), which comprises three phases: analysis, configuration, and generation. The analysis phase involves examining the standard project structure of a typical serious game to identify the applicable actions to which AR content can be added. The configuration phase involves configuring the AR features and the AR library to be integrated into the game structure. Finally, the generation phase entails inserting the AR code in the game structure, as well as all the files necessary to in-corporate AR features in the game. Our process allows generating ARSGs step by step, both easily and rapidly. To implement this process, we propose an ARSG development software architecture. The underlying assumption of this architecture is that software development tools are essential validation elements of the software generation process. By implementing our ARSG development process through a software architecture, we provide users with a formal, automated method for creating ARSGs. The ARSG development process and the architecture, collectively called ZeusAR, are not dependent on specific software development technologies and/or programming languages. To perform a proof-of-concept of our process, we developed an ARSG generator tool based on the proposed architecture and conducted a case study in which geometry ARSGs are developed to help high school students learn about geometric shapes and their properties. We conducted a qualitative evaluation of the ZeusAR tool through a System-Usability-Scale (SUS) based survey, which was administered to a group of geometry teachers to evaluate the tools characteristics, such as ease of use and ease of configuration. Additionally, a group of software developers and professors assessed the performance of the ZeusAR tool in terms of game development time.",NULL,NULL
9,"Comparison of binocular game and patching in treating mild to moderate anisometropic amblyopia: a study protocol for a randomized controlled trial","Background Amblyopia, as a neurodevelopmental preventable visual disorder, affects approximately 1.1 % in Asia. A binocular approach to treating amblyopia has been recently proposed. Whether the binocular playing game treatment is comparable to patching treatment needs further randomized clinical trials. To address this, the present research, designs, develops, and evaluates a new binocular game to treat amblyopia. Methods This study has been designed as a non-inferiority, randomized, two parallel-group, controlled trial. Forty-four patients between 4 and 12years diagnosed with amblyopia will be randomly assigned to the control and intervention groups. In the intervention group, amblyopia treatment is provided with red-green anaglyphic glasses and a red filter placed in front of the amblyopic eye, along with a game to be played for 30min twice a day. Those in the control group will receive patch therapy according to amblyopia treatment study protocol. The primary outcome is to change visual acuity in the amblyopic eye from the baseline to 3months after randomization. Ethics and dissemination The Ethics Committee of Mashhad University of Medical sciences approval date was February 28, 2018, with a reference code of IR.MUMS.fm.REC.1396.783. Thus far, the recruitment of participants has not been completed and is scheduled to end in September 2021. The results will be disseminated in a peer-reviewed journal. Trial registration Iranian Registry of Clinical Trials IRCT20180217038768N1 . Registered on 22 April 2019.",NULL,NULL
10,"Study protocol for a randomised controlled trial to evaluate the effectiveness of a serious game targeting interpersonal emotion regulation in early adolescents","Background Adaptive interpersonal emotion regulation (iER) is a vital tool for positive relations. During early adolescence, peer relations become increasingly important, making this age group a relevant target group for interventions promoting positive interactions with each other, yet no evidence-based intervention exists for iER andearly adolescents specifically. Methods This randomised controlled trial (RCT) aims to test effectiveness and feasibility of a serious game training iER skills in early adolescents by comparing outcomes with a control group playing a game without psychoeducational content in a pre- and post-test design. German- and English-speaking early adolescents (1014years) are eligible for participation. IER skills improvement as assessed by a vignette task is the primary outcome and will be analysed with a chi-square test. Secondary outcomes include feasibility and acceptability, emotional competence, personal emotion regulation, gender, and sex. Discussion This RCT will test whether playing a serious game about iER strategies results in an improvement of iER skills and whether the game is feasible and acceptable for early adolescents with the ultimate aim to implement the game in schools and help early adolescents achieve positive peer relationships. Trial registration ClinicalTrials.gov NCT04808102 , Registered on 19 March 2021",NULL,NULL
